,spectralKurtosis,spectralRolloffPoint,spectralSkewness,spectralSlope,spectralSpread,harmonicRatio,pitch,zerocrossrate,shortTimeEnergy
3546,16.8989752963086,4739.47051744886,2.77450157110185,-5.765581928618341e-09,1661.83523714685,119.641172714159,0.348237732429665,0.22557536101083,0.368355620967212
5771,254.281591467888,1072.38442822384,12.3277880386878,-1.35560676608555e-07,617.188366299026,391.908771844952,0.217815614377877,0.0639104318734793,7.23896629336733
4079,36.6908234586704,4335.28528528528,3.48803806598875,-3.93089514807615e-08,1568.43142474804,179.200213821144,0.422429559347446,0.288874812312312,2.35622405865156
2260,72.5336641457998,2680.62930186824,5.33348378370882,-4.06042795814234e-08,945.256594747353,221.870580994379,0.601501376011876,0.13696226647001,2.13634170611339
847,74.1452271300601,2306.69456066946,5.51269162043465,-8.69950286507332e-08,847.863327519907,168.48684257105,0.415369617951565,0.144390690376569,4.6821736824009
5385,431.99521623087,672.911597729117,16.7893206118663,-2.6306177319389e-07,446.092290793186,396.435979241019,0.178175440465056,0.0357182684509327,12.5818646609701
3699,85.6739270482711,2622.83105022831,5.950883047623,-3.65402813417612e-08,961.107432169848,134.905795515416,0.394085989208365,0.149620433789954,1.98843428009301
4126,4.71637204101883,7143.18936877077,0.622753315896778,-3.79693784273297e-10,2263.7728143872,174.848360261919,0.269169597875,0.419161821705426,0.0340306197983389
4825,53.8743638307787,3674.10071942446,4.67044577815512,-7.24582006955982e-08,1393.32429863643,200.541668113664,0.484030020504711,0.215965977218225,3.8484261054655
265,104.30521405552496,910.818713450292,5.428528780746401,-6.95115801644018e-08,1172.9757562456286,153.015084077736,0.547731484758537,0.0519965277777778,3.47067675562852
4813,23.2162998825823,4421.57894736842,2.93807409696882,-2.89062371270968e-08,1546.27996646755,210.772388678673,0.3918169789721,0.228327850877193,1.86511223561309
3407,28.5148308372209,4892.06989247312,2.60491645232629,-6.31965704343641e-10,1624.29315184585,126.349786442884,0.426489364888507,0.277608366935484,0.0354405972646098
1168,104.30521405552496,4480.13698630137,5.428528780746401,-2.6818046606247e-08,1172.9757562456286,171.898395100042,0.387802176627791,0.288349029680365,1.55697153162107
2153,103.726180335793,3189.47368421053,5.98428249970631,-4.77813762057019e-08,1165.59958742229,269.882708170027,0.400991143287795,0.138027686403509,2.53795308984423
5636,32.7517779330545,3279.32489451477,4.00167409980273,-5.6280773196535e-08,1259.28393046133,202.011512619971,0.433347194451975,0.182364187763713,3.18639927720325
1825,173.881832181372,1698.94736842105,7.81400903512073,-5.424552722823e-08,672.044326486845,301.089289500528,0.449801697713048,0.120575657894737,2.97101054798122
4529,148.644546974988,2682.87037037037,8.21989025396049,-1.40383596995676e-07,963.758763756051,169.142046057479,0.553911471336199,0.187391493055556,7.33202094721561
2336,48.9772439494417,2041.82098765432,4.92962761199887,-6.09186923238108e-08,831.462150636934,295.74095314534,0.335607295323101,0.113016010802469,3.5855117805324
3611,65.8725664547874,3249.48148148148,5.14146657326859,-4.14084956408467e-08,1223.87243721945,216.214920209662,0.359421485703684,0.18275462962963,2.39707199786055
3484,9.87908170649015,7018.76006441224,0.916877119485919,-5.761485243177e-09,2249.16990109473,163.828168925533,0.264654755341058,0.366543377616747,0.314038120058846
4587,50.1230265040492,3451.68067226891,4.86510985227504,-6.98949042988129e-08,1301.24830383211,232.088761527487,0.370308566272074,0.162731967787115,3.85594647541181
857,162.167591467917,2577.30263157895,5.78231368634359,-9.12314664055827e-09,994.861451713513,194.08702812439,0.436633809784393,0.167821408991228,0.4514272425278
811,104.30521405552496,1989.46716232962,5.428528780746401,-4.76046140943898e-08,1172.9757562456286,174.963568988399,0.453986204427216,0.123044454770756,2.60732455485381
874,104.30521405552496,3354.36382754995,5.428528780746401,-2.7725404846993e-08,1172.9757562456286,161.351592686739,0.473021681741495,0.173912329127234,1.99980666663082
1627,106.663623349448,2091.23630672926,7.33215749652401,-9.11996179557973e-08,758.008382717934,194.723211178104,0.533651088326942,0.143852699530516,5.42325509780935
3441,42.9079484807166,4151.2174643157,3.5814529640329,-1.71857232293191e-08,1345.27832113514,126.242951461133,0.295206693010337,0.199582808564232,1.00781376462801
1476,141.069417085386,1780.56680161943,7.30922385451211,-8.47632002594764e-08,675.842222298224,135.742327651637,0.516717635564693,0.123064271255061,4.46139913104217
516,178.437420740036,1909.22330097087,7.71801015158672,-8.11210827857427e-08,725.137206561505,144.682393442644,0.487091965877127,0.127417071197411,4.14020130836574
930,136.401274065307,2341.27725856698,6.91200811790551,-2.86185360111063e-09,1014.64879362815,134.909427690427,0.48189753190432,0.161901285046729,0.148214227004299
3067,54.9997913558106,4018.88246628131,4.39261377854158,-5.60827172529245e-08,1440.76865061025,183.127112395975,0.316191727844808,0.18311355973025,2.88018047348756
978,72.6131048434319,3108.64197530864,5.17654211677776,-2.90894392813277e-08,1135.63729527741,214.786859104408,0.385991157254885,0.178891782407407,2.12164489866482
510,107.483012842328,2359.43396226415,5.79354890044135,-4.0938072211315e-08,861.932761783311,143.983176939075,0.494007049800049,0.155807783018868,2.24657195703665
4980,15.4560195079579,5005.08701472557,1.53762857097949,-2.0747478792872803e-09,1660.16057537029,248.364592769636,0.419037253420396,0.269440261044177,1.24777998646085
768,104.30521405552496,1909.79532163743,5.428528780746401,-6.72728317666028e-08,1172.9757562456286,143.73278998308,0.4802137891839,0.09609375,3.48662890932656
2717,140.44845070552,2522.66666666667,6.53981390271326,-1.13049458790032e-07,918.549206288902,204.684339784861,0.574189891575257,0.166125,6.36457472703532
3478,182.103296877058,2825.23540489642,8.07808670628357,-3.6606908608521e-09,958.524226568868,205.963023337706,0.373581240861644,0.140398422787194,0.172993512211699
1426,148.23785223816,3400.57471264368,5.88637238832584,-8.374280994600491e-10,1257.48326425875,170.929516117972,0.376951929384168,0.17918911637931,0.0428262045485576
190,99.176138416401,2233.98692810458,6.22563752116605,-4.11412598415907e-08,808.699447017626,138.257020226478,0.444089949231956,0.147109885620915,2.17888353681789
3109,11.9058345934851,5512.15538847118,1.87155290412447,-2.3363591955313e-08,1904.62838649281,139.929373827957,0.292651380287356,0.330227913533835,1.30770892391218
1788,30.2980775971091,3242.888165038,3.44095326554702,-1.93767401078113e-08,1127.38861953455,256.240147074437,0.420717308963406,0.181015879478827,2.32630008069619
536,88.1108712923125,2174.28087986464,5.89972916755015,-7.83677034024392e-08,854.829062939609,183.402105088618,0.499602853450382,0.146980752961083,4.62033354143624
887,132.012828711855,2597.35159817352,6.57838509180729,-5.8327889398140414e-09,989.145616292409,234.498127744559,0.411722474470949,0.168553082191781,0.335326976792763
1575,68.5205385920718,2808.13771517997,5.37225706314831,-1.73284478746197e-07,1084.38123973897,181.452756499905,0.521958408016831,0.15860230829421,9.50397974445268
4949,39.5878452215346,3750.20080321285,4.03853822534889,-4.53745470705731e-08,1394.74529672119,240.767016137142,0.403214243559966,0.214001840696118,2.55937142116391
4150,75.39379093116,4308.08356039964,4.72757819143777,-4.24095827417048e-08,1442.271639908,199.844515081713,0.418224066695651,0.248753973660309,2.34408988103887
5071,9.85282744896443,6142.0704845815,0.841523675186286,3.88603215651978e-10,1988.3285414919,227.958423840908,0.364193446643769,0.341141244493392,0.805028530187706
1951,49.7051640641515,2927.80203784571,4.81619280379224,-6.1061249434546e-08,997.786550223468,207.912481248257,0.470627769447389,0.131172671033479,3.18109789812714
678,75.3727134394386,2768.62222222222,5.44557301560571,-5.68578320999507e-08,995.651633880676,132.012163867152,0.36073255851551,0.155516666666667,2.89736056050887
387,51.8378833922492,3296.91577698695,3.88543478964002,-8.15289379007015e-08,1118.09007169502,182.852365418485,0.406517625250579,0.184797597864769,4.55039102945468
5806,22.0195231430089,4955.11111111111,2.15086491296944,-2.09178401821437e-08,1613.28734291026,200.608377851372,0.379698083076918,0.321125,1.59797223138237
